MOF,water_resistance
str_m4_o1_o22_acs_sym.155,0.009471240467126867
str_m4_o1_o15_acs_sym.33,0.03869635553749264
str_m4_o1_o15_acs_sym.167,0.004761816123144677
str_m4_o1_o14_acs_sym.139,0.024561642985877766
str_m4_o1_o4_acs_sym.81,0.09857967880968954
str_m4_o11_o15_acs_sym.209,0.006409491447955039
str_m4_o11_o22_acs_sym.203,0.005451456950172908
str_m4_o11_o22_acs_sym.225,0.040335277340297404
str_m4_o11_o22_acs_sym.57,0.0070447106791221474
str_m4_o12_o15_acs_sym.133,0.0021573111893564965
str_m4_o12_o15_acs_sym.171,0.013983399779640833
str_m4_o12_o15_acs_sym.218,0.0018198467259111085
str_m4_o14_o14_acs_sym.115,0.07103056080571094
str_m4_o14_o14_acs_sym.127,0.052677492871756874
str_m4_o14_o14_acs_sym.41,0.29531104109580736
str_m4_o14_o22_acs_sym.127,0.010907631029763255
str_m4_o14_o22_acs_sym.54,0.017716916338301532
str_m4_o14_o22_acs_sym.98,0.008269742979568648
str_m4_o14_o24_acs_sym.190,0.03547068704443634
str_m4_o17_o17_acs_sym.124,0.16667424007771914
str_m5_o1_o17_sra_sym.50,0.9193879160750786
str_m4_o1_o11_acs_sym.5,0.03789659725955225
str_m5_o4_o16_sra_sym.65,0.012909666758468615
str_m5_o5_o18_sra_sym.78,0.8634221373036419
str_m5_o5_o16_sra_sym.88,0.9527286643704745
str_m5_o4_o4_sra_sym.69,0.8410741642878357
str_m5_o4_o18_sra_sym.107,0.2987552785818289
str_m5_o4_o16_sra_sym.66,0.8038881282216391
str_m5_o4_o16_sra_sym.60,0.836684975593096
str_m5_o4_o16_sra_sym.35,0.8839158397112944
str_m5_o25_o25_sra_sym.42,0.9010019406089135
str_m5_o2_o20_sra_sym.119,0.10160680982218553
str_m5_o2_o19_sra_sym.7,0.9487723145025804
str_m5_o2_o19_sra_sym.53,0.9599975546868975
str_m6_o42_o47_etb_sym.114,0.8998102574861977
str_m6_o42_o49_etb_sym.13,0.8456624809061777
str_m6_o43_o48_etb_sym.93,0.8018895741603684
str_m6_o46_o55_etb_sym.130,0.38233506221826014
str_m6_o46_o55_etb_sym.75,0.3128703887664346
str_m6_o46_o56_etb_sym.177,0.7690804439151875
str_m6_o46_o56_etb_sym.5,0.5666374923689834
str_m6_o46_o56_etb_sym.58,0.6246691525134582
str_m6_o46_o57_etb_sym.19,0.21769449377993264
str_m6_o46_o57_etb_sym.3,0.26247917600927323
str_m6_o47_o49_etb_sym.75,0.8746724795561492
str_m6_o47_o55_etb_sym.65,0.15748720022519677
str_m7_o10_o24_bcu_sym.128,0.15305633400462187
str_m7_o10_o24_bcu_sym.56,0.13051088866407404
UFUMUD,0.055830513122353355
UIO66-NH2,0.7663903126343417
str_m5_o2_o19_sra_sym.141,0.9449423952844667
str_m5_o2_o19_sra_sym.116,0.9237701240541696
str_m5_o11_o16_sra_sym.162,0.9099167526576222
str_m5_o11_o18_sra_sym.22,0.9406778038258911
str_m5_o11_o18_sra_sym.132,0.7551014442444645
str_m5_o11_o16_sra_sym.83,0.8919898608474166
str_m5_o11_o16_sra_sym.80,0.9071765743044807
str_m5_o11_o16_sra_sym.4,0.8541659781207739
str_m5_o11_o16_sra_sym.189,0.6041845975130192
str_m5_o2_o17_sra_sym.25,0.06848048846505847
str_m5_o11_o16_sra_sym.128,0.9499833059073449
str_m5_o11_o16_sra_sym.124,0.8789471414401311
str_m5_o10_o29_sra_sym.172,0.9454509500037646
str_m5_o10_o29_sra_sym.117,0.7941981813836241
str_m5_o1_o18_sra_sym.61,0.7773091651609604
str_m5_o12_o18_sra_sym.99,0.6525933174891563
str_m5_o13_o16_sra_sym.13,0.9313621213982868
